x,y,species cloglog values
395.0,395.0,0.6555937
396.0,396.0,0.6319602
397.0,397.0,0.6555937
398.0,398.0,0.6319602
399.0,399.0,0.6319602
400.0,400.0,0.6319602
401.0,401.0,0.6319602
402.0,402.0,0.62330157
403.0,403.0,0.6319602
404.0,404.0,0.6319602
405.0,405.0,0.59380126
406.0,406.0,0.62330157
407.0,407.0,0.6319602
408.0,408.0,0.6319602
409.0,409.0,0.62330157
410.0,410.0,0.6319602
411.0,411.0,0.62330157
412.0,412.0,0.6555937
413.0,413.0,0.6319602
414.0,414.0,0.6319602
415.0,415.0,0.6319602
416.0,416.0,0.6319602
417.0,417.0,0.6319602
418.0,418.0,0.60429335
419.0,419.0,0.62330157
420.0,420.0,0.6319602
421.0,421.0,0.62330157
422.0,422.0,0.6319602
423.0,423.0,0.6319602
424.0,424.0,0.6319602
425.0,425.0,0.6319602
426.0,426.0,0.6469464
427.0,427.0,0.62330157
428.0,428.0,0.62330157
429.0,429.0,0.6555937
430.0,430.0,0.6319602
431.0,431.0,0.62330157
432.0,432.0,0.6319602
433.0,433.0,0.62330157
434.0,434.0,0.59380126
435.0,435.0,0.6319602
436.0,436.0,0.6319602
437.0,437.0,0.6319602
438.0,438.0,0.6319602
439.0,439.0,0.6319602
440.0,440.0,0.6555937
441.0,441.0,0.6319602
442.0,442.0,0.6555937
443.0,443.0,0.6319602
444.0,444.0,0.6319602
445.0,445.0,0.6319602
446.0,446.0,0.60429335
447.0,447.0,0.6319602
448.0,448.0,0.6319602
449.0,449.0,0.62330157
450.0,450.0,0.6319602
451.0,451.0,0.6319602
452.0,452.0,0.6319602
453.0,453.0,0.62330157
454.0,454.0,0.62330157
455.0,455.0,0.62330157
456.0,456.0,0.62330157
457.0,457.0,0.6319602
458.0,458.0,0.62330157
459.0,459.0,0.6319602
460.0,460.0,0.6319602
461.0,461.0,0.62330157
462.0,462.0,0.6319602
463.0,463.0,0.6319602
464.0,464.0,0.6319602
465.0,465.0,0.6319602
466.0,466.0,0.6319602
467.0,467.0,0.6319602
468.0,468.0,0.6469464
469.0,469.0,0.6319602
470.0,470.0,0.6319602
471.0,471.0,0.6319602
472.0,472.0,0.6319602
473.0,473.0,0.6319602
474.0,474.0,0.6319602
475.0,475.0,0.62330157
476.0,476.0,0.6319602
477.0,477.0,0.6469464
478.0,478.0,0.6319602
479.0,479.0,0.6319602
480.0,480.0,0.62330157
481.0,481.0,0.6319602
482.0,482.0,0.6319602
483.0,483.0,0.6319602
484.0,484.0,0.6319602
485.0,485.0,0.62330157
486.0,486.0,0.6319602
487.0,487.0,0.62330157
488.0,488.0,0.6319602
489.0,489.0,0.5851979
490.0,490.0,0.6319602
491.0,491.0,0.6319602
492.0,492.0,0.6555937
493.0,493.0,0.6319602
494.0,494.0,0.6319602
495.0,495.0,0.6319602
496.0,496.0,0.62330157
497.0,497.0,0.62330157
498.0,498.0,0.6555937
499.0,499.0,0.6469464
